name,tier,activation,ranked,description,source
Custom Code,1,False,False,"When your character selects this talent, they choose one icebreaker or piece of ice that they own. If they choose an icebreaker, whenever they use that icebreaker to override ice, they add [advantage] to the results. If they choose a piece of ice, whenever someone else attempts to override it, they add h to the results.",SOTB
Custom Rig,1,False,True,"When your character selects this talent, they choose one computer (such as a rig, PAD, or spinal modem) that they own. The amount of ice or icebreakers (your character's choice) that they can have on that computer is increased by 1 per rank of Custom Rig. (This may be a mix of ice and icebreakers, as long as the combined total increase does not exceed your character's ranks in Custom Rig). If your character loses their affected computer, they may choose a new computer to be affected by this talent.",SOTB
Customer Service Experience,1,False,True,"After your character makes a Charm check, they may suffer 1 strain use this talent to cancel [threat] equal to your character's ranks in Customer Service Experience.",SOTB
Dark Insight,1,False,False,"When a spell adds a quality to your character's spell with a rating determined by your character's ranks in Knowledge (Lore), your character may use their ranks in Knowledge (Forbidden) instead.",ROT
Data Miner,1,False,False,"Once per session before making a knowledge skill check, your character may use this talent to use the Computers skill to make the check instead of a knowledge skill.",EOTI
Deep Pockets,1,False,False,"Once per session, your character may use this talent to produce a small but narratively useful item from their pockets, backpack, or similar receptacle (it turns out the item had been there the whole time).","Your GM has final say as to what items can be produced with Deep Pockets, but generally the item should cost less than 100 credits and have an encumbrance of 0 or 1."
Defensive Sysops,1,False,False,"When attempting to defend a computer system against intrusion (or when someone attempts to hack a computer owned or programmed by your character) your character adds ■■ to their opponent's checks. If your character has access to the computer system when the intrusion takes place, they are automatically aware of the intrusion.",GCRB
Desperate Recovery,1,False,False,"Before your character heals strain at the end of an encounter, if their strain is more than half of their strain threshold, they heal two additional strain.",GCRB
Diplomatic Instruction,1,False,False,"When you take this talent, your character gains Leadership or Negotiation as a career skill. In addition, when using one of these skills to convince their allies to undertake a particular task in a social encounter, your character may spend [advantage] [advantage] to heal 3 strain.",EOTI
Disenfrancisto,1,False,False,"When you take this talent, your character gains Streetwise or Survival (your choice) as a career skill. In addition, once per session, your character may collect a small favor from any other Disenfrancisto, even if they do not owe your character a favor.",SOTB
Duelist,1,False,False,Your character adds ■ to their melee combat checks while engaged with a single opponent. Your character adds ■ to their melee combat checks while engaged with three or more opponents.,GCRB
Dungeoneer,1,False,True,"After your character makes a Perception, Vigilance, or Knowledge (Adventuring) check to notice, identify, or avoid a threat in a cavern, subterranean ruin, or similar location, your character cancels a number of uncanceled h no greater than your character's ranks in Dungeoneer.",ROT
Durable,1,False,True,"Your character reduces any Critical Injury result they suffer by 10 per rank of Durable, to a minimum of 01.",GCRB
Elementalist,1,False,False,"When your character purchases this talent, choose one of the following attack spell effects (and associated element): Fire (fire), Ice (water), Impact (earth), or Lightning (air). Whenever your character casts an Attack spell, they always add the chosen effect to the spell without increasing the difficulty. However, they may never add any of the other three effects to a spell they may cast.",GEPG
Emergency Thruster Burn,1,False,False,"Once per round while controlling a starship that requires the Operating skill to direct, your character may use this talent to increase","or decrease its speed by 1, to a minimum of 0 or a maximum of the starship's max speed. The starship suffers 2 system strain."
Emergency Vacuum Training,1,False,False,Your character does not count zero-gravity,"environments as difficult terrain. When your character is exposed to vacuum without protective gear, they may hold their breath for a number of rounds equal to twice their Brawn and only suffer 2 wounds for each round they are exposed to vacuum."
Ensorcelled,1,False,False,"If your character has at least one rank in a magic skill, once per encounter, they may use this talent to add [advantage] to the result of their next social skill check.","Additionally, this has a passive narrative effect; your character's appearance is subtly enhanced by their magic. Others do not note it as supernatural, but maybe slightly put off. What form this takes is up to you, with GM's approval, but should be based on the magic skill your character possesses (as well as their backstory)."
Extra Ammo,1,False,False,Cannot run out of ammo due to a [despair]. Items with Limited Ammo quality run out of ammo as normal.,"ACRB, ECRB"
Familiar Sky,1,False,False,"Once per session, may perform a Familiar Sky maneuver; make a Hard (◆◆◆) Knowledge check to reveal the current type of environment and other useful information.","ACRB, ECRB"
Finesse,1,False,False,"When making a Brawl or Melee (Light) check, your character may use Agility instead of Brawn.",ROT
Fires of Conviction,1,False,False,"Your character must be a Gashlai or a N'orr or have allegiance to the Yin Brotherhood, the Argent Flight, or the Keleres to benefit from this talent. Your character rerolls failed fear checks.",EOTI
Forager,1,False,False,"Your character removes up to ■■ from any skill checks they make to find food, water, or shelter. Checks to forage or search the area that your character makes take half the time they would normally.",GCRB
Former Professor,1,False,False,"When you take this talent, your character gains one Knowledge skill (of your choice) as a career skill. In addition, once per session, your character may collect a small favor from a member of an institute of higher learning, even if they do not owe your character a favor.",SOTB
Grit,1,False,True,Each rank of Grit increases your character's strain threshold by one.,GCRB
Hamstring Shot,1,False,False,"Once per round, your character may use this talent to perform a ranged combat check against one non-vehicle target within range of the weapon used. If the check is successful, halve the damage inflicted by the attack (before reducing damage by the target's soak). The target is immobilized until the end of its next turn.",GCRB
Hand on The Throttle,1,False,False,"Once per round while driving or piloting a vehicle, your character may use this talent to increase or decrease its speed by 1, to a minimum of 0 or a maximum of the vehicle's max speed.","EOTI, SOTB"
Historical Record,1,False,False,"Your character must be a Winnu or have allegiance to the Empyrean or the Nomad to benefit from this talent. Once per session before making a knowledge skill check or Astrocartography check, your character may use this talent to succeed on the check with [success] [success] [success].",EOTI
Hidden Storage,1,False,True,Gain hidden storage in vehicles or equipment that holds items with total encumbrance equal to ranks in Hidden Storage.,"ACRB, EBGR, ECRB"
Iaijutsu Training,1,False,False,"The first time during an encounter that your character draws a Melee weapon, increase the weapon's damage by 2 for the remainder of the turn.",SOTB
Jump Up,1,False,False,"Once per round during your character's turn, your character may use this talent to stand from a prone or seated position as an incidental.",GCRB
Knack for It,1,False,True,"When you purchase this talent for your character, select one skill. Your character removes ■■ from any checks they make using this skill. Each additional time you purchase this talent for your character, select two additional skills. Your character also removes ■■ from any checks they make using these skills. You cannot select combat or magic skills when choosing skills for this talent. Optional rule (in lieu of above): When you purchase this talent select one skill. Your character removes ■ from any checks they make using this skill per rank. This talent can be chosen for a different skill (as a Tier 1 talent) creating a new unique talent line.",GCRB
Knockout Punch,1,False,False,"Your character adds the Stun quality to their Brawl combat checks, with a rating equal to two plus your character's ranks in Coordination (this does not stack with other instances of the Stun quality).",SOTB
Know Somebody,1,False,True,"Once per session, when attempting to purchase a legally available item, your character may use this talent to reduce its rarity by one per rank of Know Somebody.",GCRB
Knowledge Specialization,1,False,True,"When acquired, choose 1 Knowledge skill. When making that skill check, may spend a t result to gain additional [success] equal to ranks in Knowledge Specialization.","ACRB, ECRB, FCRB"
Life on the Streets,1,False,False,"When you take this talent, your character gains Skulduggery or Deception as a career skill. In addition, when using one of these skills to obtain wealth (whether by stealing something, lying about the worth of an item, or other duplicitous means), your character may spend [advantage] [advantage] to heal 3 strain.",EOTI
Let's Ride,1,False,False,"Once per round during your character's turn, your character can use this talent to mount or dismount from a vehicle or animal, or move from one position in a vehicle to another (such as from the cockpit to a gun turret) as an incidental. In addition, if your character suffers a short-range fall (see page 112) from a vehicle or animal, they suffer no damage and land on their feet.",GCRB
Museum Worthy,1,False,False,"Once per session, take Museum Worthy action, make a Hard (◆◆◆) Knowledge check to ascertain information regarding a relic, ruin, or piece of history.",ETU
Net Search,1,False,False,"If your character has access to the Network, they may use this talent to upgrade the ability of the next Knowledge check they make during their turn twice and the difficulty of that check once. Your GM must spend a [despair] to have your character learn some seemingly relevant and believable information that turns out to be completely (and possibly maliciously) false.",SOTB
Nocturnal Upbringing,1,False,False,"When you take this talent, your character gains Perception or Stealth as a career skill. In addition, your character may remove ■ added to their checks due to darkness.",EOTI
Null Gravity Adept,1,False,False,"When you take this talent, your character gains Athletics or Coordination as a career skill. In addition, when making a check using one of these skills in a zero-gravity environment, your character may spend [advantage] [advantage] to heal 3 strain.",EOTI
One with Nature,1,False,False,"When in the wilderness, your character may make a Simple (–) Survival check, instead of Discipline or Cool, to recover strain at the end of an encounter (see page 117).",GCRB
Painful Blow,1,False,False,"When your character makes a combat check, you may voluntarily increase the difficulty by one to use this talent. If the target suffers one or more wounds from the combat check, the target suffers 2 strain each time they perform a maneuver until the end of the encounter.",ROT
Parry,1,False,True,"When your character suffers a hit from a melee combat check, after damage is calculated but before soak is applied (so immediately after Step 3 of Perform a Combat check, page 102), your character may suffer 3 strain to use this talent to reduce the damage of the hit by two plus their ranks in Parry. This talent can only be used once per hit, and your character needs to be wielding a Melee weapon.",GCRB
Physician,1,False,True,"When making a Medicine check to help a character heal wounds, the target heals 1 additional strain per rank of Physician.",FCRB
Precision,1,False,False,"When making a Brawl or Ranged check, your character may use Cunning instead of Brawn and Agility.",ROT
Proper Upbringing,1,False,True,"When your character makes a social skill check in polite company (as determined by your GM), they may suffer a number of strain to use this talent to add an equal number of [advantage] to the check. The number may not exceed your character's ranks in Proper Upbringing.",GCRB
Quick Draw,1,False,False,"Once per round on your character's turn, they may use this talent to draw or holster an easily accessible weapon or item as an incidental. Quick Draw also reduces a weapon's Prepare rating by one, to a minimum of one.",GCRB
Quick Strike,1,False,True,Your character adds ■ for each rank of Quick Strike to any combat checks they make against any targets that have not yet taken their turn in the current encounter.,GCRB
Rapid Reaction,1,False,True,Your character may suffer a number of strain to use this talent to add an equal number of [success] to a Vigilance or Cool check they make to determine Initiative order. The number may not exceed your character's ranks in Rapid Reaction.,GCRB
Rapid Recovery,1,False,True,"When healing strain after an encounter, heal 1 additional strain per rank of Rapid Recovery.","ABGR, ACRB, ECRB, FBGR, FCRB"
Redundant Systems,1,False,False,"Once per session, may take a Redundant Systems action; make an Easy (◆) Mechanics check to harvest components from a functioning device to repair a broken one without breaking the first device.","ACRB, ECRB"
Reflect,1,False,True,"When your character suffers a hit from a Ranged combat check, after damage is calculated but before soak is applied, your character may suffer 3 strain to use this talent to reduce the damage of the hit by two plus their ranks in Reflect. This talent can only be used once per hit, and your character needs to be wielding a Shield or Weapon (Lightsaber, etc.) deemed appropriate by the GM.","FBGR, FCRB"
Resourceful Mechanic,1,False,True,"When your character makes a Mechanics check to repair system strain or hull trauma on a vehicle, they repair one additional system strain or hull trauma per rank of Resourceful Mechanic.",SOTB
Sagacious Instruction,1,False,False,"When you take this talent, your character gains Astrocartography or any one knowledge skill as a career skill. In addition, when making a skill check to navigate to an unknown system or to learn new information, your character may spend [advantage] [advantage] to heal 3 strain.",EOTI
Second Wind,1,False,True,"Once per encounter, your character may use this talent to heal an amount of strain equal to their ranks in Second Wind.",GCRB
Shapeshifter,1,False,False,"When your character is incapacitated due to having exceeded their strain threshold while in their normal form, they undergo the following change as an out-of-turn incidental: they heal all strain, increase their Brawn and Agility by one to a maximum of 5 and reduce their Intellect and Willpower by one to a minimum of 1. They deal +1 damage when making unarmed attacks and their unarmed attacks have a Critical rating of 3, but they cannot use magic skills or make ranged attacks. Your GM should ensure that NPCs react appropriately to this (at the very least, upgrading the difficulty of social skill checks twice). Your character reverts to their normal form after eight hours or if they become incapacitated (for instance, by exceeding their wound or strain threshold).				",ROT
Shield Slam,1,False,False,"When your character uses a shield to attack a minion or rival, you may spend [advantage] [advantage] [advantage] [advantage] or [triumph] to stagger the target until the end of the target's next turn.",ROT
Signature Vehicle,1,False,True,"Choose one starship or vehicle with a silhouette of 3 or lower that your character owns. This vehicle is your character's ""Signature Vehicle."" Upgrade the ability of all Mechanics checks made to work on the vehicle once. If the vehicle ever lost or destroyed, the character may apply Signature Vehicle to a new vehicle that meets the requirements. ","SOT, SM"
Skilled Mechanic,1,False,True,"When your character makes a check to repair hull trauma or system strain, they repair 1 additional hull trauma or system strain per rank of Skilled Mechanic.",EOTI
Smooth Talker,1,False,True,"When first acquired choose 1 skill: Charm, Coercion, Deception, or Negotiation. When making checks with that skill spend t to gain additional [success] equal to ranks in Smooth Talker.","ACRB, ECRB, FCRB"
Solid Repairs,1,False,True,The character repairs +1 hull trauma per rank of Solid Repairs whenever he repairs a starship or vehicle.,"ABGR, ACRB, ECRB, FCRB"
Soothing Tone,1,False,False,"Once per encounter, take a Soothing Tone action; make an Average (◆◆) Knowledge check to allow a beast to recover strain equal to [success].","SOT, SS"
Street Fighter,1,False,False,"When your character disorients or knocks their target prone while making a Brawl combat check, they may use this talent to cause the target to suffer wounds equal to your character's ranks in Skullduggery.",SOTB
Surgeon,1,False,True,"When your character makes a Medicine check to heal wounds, the target heals one additional wound per rank of Surgeon.",GCRB
Sublte,1,False,False,"When making a social skill check, your character can use this talent to spend [advantage] to convey to one other character a simple message that has nothing to do with what your character is actually saying. The means by which you convey this message is up to you and your GM, but could include body language, subtle gestures, double entendres, or references to shared experiences.",EOTI
Swift,1,False,False,Your character does not suffer the penalties for moving through difficult terrain (they move through difficult terrain at normal speed without spending additional maneuvers).,GCRB
Tavern Brawler,1,False,False,Your character adds [advantage] to Brawl checks and combat checks using improvised weapons.,ROT
Templar,1,False,False,Divine is now a career skill for your character. They can only cast one spell using this skill per encounter.,ROT
Toughened,1,False,True,Each rank of Toughened increases your character's wound threshold by two.,GCRB
Tri-Maf Contact,1,False,False,"When you take this talent, your character gains Melee or Skullduggery (your choice) as a career skill. In addition, once per session, your character may collect a small favor from a member of a single or crime group (chosen when you take this talent), even if they do not owe your character a favor.",SOTB
Tumble,1,False,False,"Once per round on your character's turn, they may suffer 2 strain to disengage from all engaged adversaries.",ROT
Union Member,1,False,False,"When you take this talent, your character gains Athletics, Mechanics, or Operating (your choice) as a career skill. In addition, once per session, your character may collect a small favor from a member of Humanity Labor or Human First, even if they do not owe your character a favor.",SOTB
Unremarkable,1,False,False,Other characters add [failure] to any checks made to find or identify your character in a crowd.,GCRB
War Veteran,1,False,False,"When you take this talent, your character gains Athletics or Resilience as a career skill. In addition, when healing strain after a combat encounter, your character may spend [advantage] [advantage] to heal 3 strain.",EOTI
Wheel and Deal,1,False,True,"When selling good legally, gain 10% more currency per rank of Wheel and Deal.","ACRB, ECRB"
Where did I put that?,1,False,False,"Once per session, your character may use this talent to make an Average (◆◆) Cool check. If successful, they may choose one item that has been lost, misplaced, or left behind during a previous encounter and then find the item on their person or in an easily accessible location.",EOTI
Worlds War Vet,1,False,False,"When you take this talent, your character gains Ranged (Heavy) or Resilience as a career skill. In addition, once per session, your character may collect a small favor from a current or former member of a single country's military (chosen ","when you take this talent), even if they do not owe your character a favor."
Xenoreader,1,False,True,"When you purchase this talent for your character, choose one of the following five categories: mammalian, aquatic, insectoid, reptilian, or anomaly (species that do not fit into one of the other categories). When your character makes a social skill check targeting a member of the chosen category, add [advantage] [advantage] to the results.","Each additional time you purchase this talent for your character, you may choose one additional category."
Years on The Force,1,False,False,"When you take this talent, your character gains Perception or Ranged (Light) as a career skill. In addition, once per session, your character may collect a small favor from a current or former member of the NAPD or New Angeles city government, even if they do not owe your character a favor.",SOTB
Adventurer,2,False,False,Athletics and Knowledge (Adventuring) are now career skills for your character.,ROT
Aethersprite,2,False,False,"Once per encounter, if your character has access to a computer network, they may use this talent to make an Average (◆◆) Computers check. If successful, they reduce the difficulty of all further Computers and Skulduggery checks to use or manipulate the system or linked subsystems (such as electronic locks on doors) by 1 for the remainder of the encounter. If this would reduce a check's difficulty to Simple (–), the character can choose instead to succeed without making the check.",Any [despair] from this or subsequent checks that involve the system must be spent to alert the system's controllers to your character's intrusion.
Angle the Shields,2,False,True,"While piloting a starship of silhouette 4 or greater, your character may make a Hard (◆◆◆) Operating check to use this","talent. If they succeed, their starship suffers system strain no greater than their ranks in this talent, and until the end of their next turn, whenever their starship is targeted by a combat check, remove ■ from the dice pool equal to the system strain suffered and add an equal number of [failure] to the results."
Animal Expertise (Hunter),2,False,True,Add ■ per rank of Animal Expertise to all checks when interacting with beast or animals (including combat checks). Add +10 to Critical Injury results against beasts or animals per rank of Animal Expertise.,"ECRB, FCRB"
Bad Cop,2,False,True,"Your character may spend aa from a Coercion or Deception check to use this talent to upgrade the ability of a single ally's subsequent social skill check a number of times equal to your character's ranks in Bad Cop. The check must target the same character as your character's initial check, and it must take place during the same encounter. ",Only one character may affect a check with this talent.
Bard,2,False,False,Knowledge (Lore) and Verse are now career skills for your character.,ROT
Barrage,2,False,True,Add 1 damage per rank of Barrage to 1 hit of successful attack while using Ranged (Heavy) or Gunnery skills at long or extreme range.,"ABGR, FIB, EBGR, ECRB"
Basic Military Training,2,False,False,"Athletics, Ranged (Heavy), and Resilience are now career skills for your character.",GCRB
Beast Wrangler,2,False,True,Add ■ per rank of Beast Wrangler to checks to tame or wrangle creatures.,SOT
Berserk,2,False,False,"Once per encounter, your character may use this talent. Until the end of the encounter or until they are incapacitated, your character adds [success] [advantage] [advantage] to all melee combat checks they make. However, opponents add [success] to all combat checks targeting your character. While berserk, your character cannot make ranged combat checks. At the end of the encounter (or when they are incapacitated), your character suffers 6 strain.",GCRB
Big Guns,2,False,False,"Your character's encumbrance threshold is 10 plus their Brawn, instead of 5 plus their Brawn. Your character reduces the Cumbersome rating of any weapon they carry by 1, to a minimum of 3. ",SOTB
Blackmail,2,False,False,"When an NPC exceeds his strain threshold, may spend 1 Story Point to convince that NPC to perform a single task of choice instead.",DA
Block,2,False,False,"Your character must have purchased the Parry talent to benefit from this talent. While wielding a shield, your character may use the Parry talent to reduce damage from ranged attacks as well as melee attacks targeting your character.",ROT
Blood Sacrifice,2,False,True,"Your character must have purchased the Dark Insight talent to benefit from this talent. Before your character makes a magic skill check, they may suffer a number of wounds to use this talent to add an equal number of [success] to the check. The number cannot exceed your character's ranks in Blood Sacrifice.",ROT
Blooded,2,False,True,"Add ■ per rank of Blooded to all checks to resist or recover from poisons, venoms, or toxins. Reduce duration of ongoing poisons by 1 round per rank of Blooded to a minimum of 1.","ACRB, ECRB"
Brilliant Casting,2,False,False,"When your character casts a spell, you may spend one Story Point to use this talent to add [advantage] equal to your character's ranks in Knowledge to the results.",GEPG
Bulwark,2,False,False,"Your character must have purchased the Parry talent to benefit from this talent. While wielding a weapon with the Defensive quality, your character may use Parry to reduce the damage of an attack targeting an engaged ally.",ROT
Burly,2,False,True,Reduce any wielded weapon's Cumbersome quality and Encumbrance rating by a number equal to ranks in Burly to a minimum of 1.,"FIB, DC"
Called Shot,2,False,False,"When your character uses the aim maneuver to target a specific item carried by an opponent or a specific part of an opponent (see page 99 of the Genesys Core Rulebook), they do not add any ■ to the check as a part of performing the maneuver.",EOTI
Chameleon Infiltration,2,False,False,"Your character must be a Yssaril or have allegiance to the Yssaril Tribes to benefit from this talent. When your character makes a Stealth check, they may use this talent and spend all [advantage] generated by the check to add an equal number of [advantage] to the results of the next combat check they make during the current encounter.",EOTI
Chill of Nordros,2,False,False,"Your character cannot take this talent if they have taken the Flames of Kellos talent. When casting an Attack spell, your character may add the Ice effect without increasing the difficulty. Your character can never add the Fire effect.",ROT
Code Slinger,2,False,False,"When your character performs the activate program maneuver (page 132) in a hacking encounter, they can choose not to deactivate one other active icebreaker. They may have two icebreakers active at once.",SOTB
Combat Medicine,2,False,True,"Before making a Medicine check, your character may use this talent to add [success] equal to their ranks in Combat Medicine to the results. After the check is resolved, the target suffers 2 strain for each rank your character has in Combat Medicine.",SOTB
Combined Arms,2,False,False,"While your character is engaged with an enemy, your GM or fellow players may not spend [despair] to cause your character to be hit by an ally's ranged attack.",EOTI
Command,2,False,True,Add ■ per rank of Command when making Leadership checks. Affected targets add ■ to Discipline checks for next 24 hours.,"ACRB, ECRB, FCRB"
Confidence,2,False,True,"May decrease difficulty of Discipline checks to avoid fear by 1 per rank of Confidence, to a minimum of Easy (◆).","ACRB, ECRB, FCRB"
Containment,2,False,True,The character and each ally within short range may spend [advantage] on their failed combat checks to inflict one strain on the target per rank of Containment. Each character can only activate this effect once per round.,"FIB, KTP"
Coordinated Assault,2,False,True,"Once per turn, your character may use this talent to have a number of allies engaged with your character equal to your ranks in Leadership add [advantage] to all combat checks they make until the end of your character's next turn. The range of this talent increases by one band per rank of Coordinated Assault beyond the first.",GCRB
Counteroffer,2,False,False,"Once per session, your character may use this talent to choose one non-nemesis adversary within medium range and make an opposed Negotiation versus Discipline check. If successful, the target becomes staggered until the end of their next turn. At your GM's discretion, you may spend [triumph] on this check to have the adversary become an ally until the end of the encounter. However, the duration of this may be shortened or extended depending on whether your GM feels your offer is appealing to the adversary and whether your character follows through on their offer!",GCRB
Cutting Question,2,False,False,"Once per encounter, when making a Coercion skill check, the character may use Deception skill instead.",DA
Daring Aviator,2,False,True,"Before your character makes a Driving or Piloting check, they may add a number of [threat] to the results to use this talent to add an equal number of [success]. The number may not exceed your character's ranks in Daring Aviator.",GCRB
Debilitating Shot,2,False,False,"Upon successful attack with a starship or vehicle weapon, may spend [advantage] [advantage] to reduce the maximum speed of the target by 1 until the end of the next round.","ACRB, ND"
Deceptive Taunt,2,False,False,"Once per session, may make Deceptive Taunt action. Make opposed Deception check. If successful, one adversary must attack the character during adversary's next turn.",FH
Defensive Stance,2,False,True,"Once per round, your character may suffer a number of strain no greater than their ranks in Defensive Stance to use this talent. Then, until the end of your character's next turn, upgrade the difficulty of all melee combat checks targeting your character a number of times equal to the strain suffered.",GCRB
Defensive Sysops (Improved),2,False,False,"Your character must have purchased the Defensive Sysops talent to benefit from this talent. Before adding ■■ from Defensive Sysops to a check, use this talent to add [failure] [threat] to the results of the check instead.",GCRB
Determined Driver,2,False,False,"You may spend a Story Point to use this talent to have your character heal system strain on a vehicle they are currently driving, piloting, or operating equal to their ranks in Driving, Piloting, or Operating (choose the skill used to direct the vehicle).",SOTB
Dirty Tricks,2,False,False,"After your character inflicts a Critical Injury on an adversary, they may use this talent to upgrade the difficulty of that adversary's next check.",ROT
Disorient,2,False,True,"After hitting with combat check, may spend [advantage] [advantage] to disorient target for number of rounds equal to ranks in Disorient.","ACRB, ECRB"
Distracting Behavior,2,False,True,"Make a Distracting Behavior maneuver and suffer strain no greater than ranks in Cunning. Until the beginning of next turn, equal number of engaged NPC's suffer [threat] on checks. Range increases with additional ranks.",FH
Dominion of the Dimora,2,False,False,"Your character cannot take this talent if they have taken the Favor of the Fae talent. When casting an Attack spell, your character may add the Impact effect without increasing the difficulty. Your character can never add the Manipulative effect.",ROT
Driven to Succeed,2,False,False,"Your character must be a Human or Winnu or have allegiance to the Federation of Sol or the Winnu to benefit from this talent. Once per session, your character may spend [advantage] [advantage] or [triumph] from any check they make to use this talent to move up to two Story Points from the GM pool to the players' pool.",EOTI
Dual Wielder,2,False,False,"Once per round, your character may use this talent to decrease the difficulty of the next combined combat check (see Two- Weapon Combat, on page 108) they make during the same turn by one.",GCRB
Dynamic Fire,2,False,False,"When making a ranged attack while engaged with an opponent, may suffer 2 strain to reduce the ranged modifier by 1.",ACRB
Encouraging Song,2,False,False,"While equipped with a musical instrument, your character may use this talent to make an Average (◆◆) Charm or Verse check. For each [success] the check generates, one ally within medium range adds ■ to their next skill check. For each [advantage], one ally benefiting from Encouraging Song heals 1 strain.",ROT
Ensorcelled (Improved),2,False,False,"Your character must have purchased the Ensorcelled talent to benefit from this talent. If your character has at least two ranks in a magic skill, when using the Ensorcelled talent, they may add [success] [advantage] to the result of their next social skill check (instead of [advantage]).","After purchasing this talent, your character's appearance is now noticeably changed by their magic. What form this enhancement takes is up to you, with GM's approval, but should be based on the magic skill your character possesses (as well as their backstory)."
Exploit,2,False,True,"When your character makes a combat check with a Ranged or Melee (Light) weapon, they may suffer 2 strain to use this talent to add the Ensnare quality to the attack. The rating of the Ensnare quality is equal to your character's ranks in Exploit.",ROT
Fan the Hammer,2,False,False,"Once per encounter before making a combat check with a pistol (your GM has the final say on whether a weapon is a pistol or not), your character may use this talent to add the Auto-fire quality to the pistol when resolving the check. If your character does, the weapon runs out of ammo exactly as with an Out of Ammo result (see page 104).",GCRB
Fancy Paint Job,2,False,False,"Your character must have purchased the Signature Vehicle talent to benefit from this talent. Upgrade all Charm, Deception, and Negotiation checks made in the presence of Signature Vehicle once.","SOT, SM"
Favor of the Fae,2,False,False,"Your character cannot take this talent if they have taken the Dominion of the Dimora talent. When casting an Attack spell, your character may add the Manipulative effect without increasing the difficulty. Your character can never add the Impact effect.",ROT
Fearsome,2,False,True,"When an adversary becomes engaged with the character, the character may force the adversary to make a fear check, with the difficulty equal to the character's ranks in Fearsome.","DC, FCRB"
Fine Tuning,2,False,True,"When reducing the amount of system strain a starship or vehicle suffers, reduce 1 additional strain per rank of Fine Tuning.","ACRB, ECRB, FCRB"
Flames of Kellos,2,False,False,"Your character cannot take this talent if they have taken the Chill of Nordros talent. When casting an Attack spell, your character may add the Fire effect without increasing the difficulty. Your character can never add the Ice effect.",ROT
Flash of Insight,2,False,False,"When your character generates [triumph] on a knowledge skill check, roll ■■ and add the results to the check, in addition to spending the [triumph] as usual.",ROT
Friends in Low Places,2,False,False,"Your character must be a Saar or have allegiance to the Mentak Coalition, the Clan of Saar, or the Nomad to benefit from this talent. Once per session when on a populated world, your character may make an Easy (◆) Streetwise check to use this talent. If they succeed, they obtain one item with a rarity no greater than twice the number of [success] scored on the check, or they obtain an equivalent service from a pirate or pirate crew.","If the check generates [threat] or [despair], your character must pay the cost of the item or service within one week of obtaining it."
Go Without,2,False,False,"Once per session, count as having the right tools for the job when performing the next skill check this turn.",DOH
